Date,Team,Acquired,Relinquished,Notes
2011-09-28, Colts, ,  Gary Brackett (b), placed on IR with left shoulder injury
2011-09-28, Colts, ,  Melvin Bullitt, placed on IR with right shoulder injury
2011-09-28, Ravens, ,  Domonique Foxworth, placed on IR with right knee injury
2011-09-28, Titans, ,  Kenny Britt, placed on IR with torn ACL and MCL in right knee
2011-09-28, Panthers,  Duke Robinson, , activated from IR
2011-09-30, Colts, ,  Cornelius Brown, placed on IR with undisclosed injury
2011-10-04, 49ers, ,  Will Tukuafu, placed on IR with undisclosed injury
2011-10-04, Eagles, ,  Antonio Dixon, placed on IR with triceps injury
2011-10-04, Seahawks, ,  Matt McCoy (b), placed on IR with knee injury
2011-10-04, Giants,  Sage Rosenfels, , activated from IR
2011-10-05, Colts, ,  Ben Ijalana, placed on IR with torn ACL in left knee
2011-10-05, Colts, ,  Eric Foster, placed on IR with dislocated right ankle
2011-10-05, Cardinals,  Max Komar, , activated from IR
2011-10-06, Dolphins, ,  Chad Henne, placed on IR with separated left shoulder
2011-10-06, Rams, ,  Bradley Fletcher, placed on IR with knee injury
2011-10-06, Rams, ,  Danny Amendola, placed on IR with left elbow injury
2011-10-08, Jets, ,  Bryan Thomas (b), placed on IR with Achilles tendon injury
2011-10-08, Raiders, ,  Ricky Brown (b), placed on IR with concussion
2011-10-10, Broncos, ,  Kevin Vickerson, placed on IR with ankle injury
2011-10-10, Buccaneers, ,  Devin Holland, placed on IR with back injury
2011-10-10, Broncos,  Brandon Minor, , activated from IR
2011-10-11, Chargers, ,  Stephen Cooper, placed on IR with biceps injury
2011-10-12, 49ers, ,  Josh Morgan, placed on IR with broken leg
2011-10-12, Browns, ,  Marcus Benard, placed on reserve/non-football injury list (NFL) / placed on IR (SN) with broken hand
2011-10-12, Packers, ,  Nick Collins, placed on IR with neck injury
2011-10-12, Texans, ,  Mario Williams, placed on IR with torn pectoral muscle
2011-10-13, Lions, ,  Erik Coleman, placed on IR with left ankle injury
2011-10-13, Patriots, ,  Mike Wright (c), placed on IR with concussion
2011-10-14, Seahawks, ,  Jameson Konz, placed on IR with knee injury
2011-10-17, Redskins, ,  Kory Lichtensteiger, placed on IR with torn ACL and MCL in right knee
2011-10-17, Seahawks, ,  Marcus Trufant, placed on IR with back injury
2011-10-18, Cowboys, ,  Bill Nagy, placed on IR with broken ankle
2011-10-18, Jaguars, ,  Austen Lane, placed on IR with shoulder injury
2011-10-18, Jaguars, ,  Rod Issac, placed on IR with hamstring injury
2011-10-18, Jaguars, ,  Zach Miller (b), placed on IR with shoulder injury
2011-10-19, Dolphins, ,  Roberto Wallace, placed on IR with quadriceps injury
2011-10-19, Panthers, , Jeff Otah, placed on IR with left knee injury
2011-10-19, Raiders, ,  Matt Shaughnessy, placed on IR with shoulder injury
2011-10-19, Texans, ,  Dominique Barber, placed on IR with knee injury
2011-10-20, Lions, ,  James Davis (c), placed on practice squad IR with undisclosed injury
2011-10-21, Lions, ,  Jerome Harrison, placed on reserve/non-football injury list with brain tumor
2011-10-22, Jets, ,  Logan Payne, placed on IR with wrist injury
2011-10-22, Seahawks,  Cameron Morrah, , activated from physically unable to perform list
2011-10-22, Steelers, ,  Aaron Smith, placed on IR with foot injury / neck injury (NFL)
2011-10-22, Saints,  Alex Barron, , activated from IR
2011-10-24, Seahawks, ,  Walter Thurmond III, placed on IR with broken fibula
2011-10-25, Bills, ,  Shawne Merriman, placed on IR with Achilles tendon ninjury
2011-10-25, Buccaneers, ,  Earnest Graham, placed on IR with torn left Achilles tendon
2011-10-25, Chiefs, ,  Shane Bannon, placed on practice squad IR with undisclosed injury
2011-10-25, Colts, ,  Chris Gronkowski, placed on IR with pectoral muscle injury
2011-10-25, Colts, ,  Kerry Collins, placed on IR with concussion
2011-10-25, Dolphins, ,  Sage Rosenfels, placed on reserve/non-football injury list with illness
2011-10-25, Falcons, ,  Mike Johnson (c), placed on IR with foot injury
2011-10-25, Falcons, ,  Ovie Mughelli, placed on IR with right knee injury
2011-10-25, Redskins, ,  Chris Cooley," placed on IR with broken left index finger, left knee injury"
2011-10-25, Redskins, ,  Tim Hightower, placed on IR with torn ACL in left knee
2011-10-26, Chargers, ,  Larry English, placed on IR with broken left foot
2011-10-28, Bengals,  Adam Jones / Pacman Jones, , activated from reserve/physically unable to perform list
2011-10-28, Lions, ,  Vincent Fuller, placed on IR with elbow injury
2011-10-29, Cowboys,  Bruce Carter, , activated from reserve/non-football injury list (E) / from physically unable to perform list (CBS)
2011-10-29, Patriots, ,  Ras-I Dowling, placed on IR with hip injury
2011-10-29, Patriots,  Brandon Deaderick, , activated from reserve/physically unable to perform list
2011-10-29, Patriots,  Kevin Faulk, , activated from reserve/physically unable to perform list
2011-10-29, Rams, ,  Brian Jackson, placed on IR with knee injury
2011-10-29, Rams,  Marquis Johnson, , activated from physically unable to perform list
2011-10-29, Seahawks,  Roy Lewis, , activated from physically unable to perform list
2011-10-31, Giants, ,  Justin Tryon, placed on IR with broken arm
2011-10-31, Packers, ,  Alex Green (b), placed on IR with left knee injury
2011-11-01, Dolphins, ,  Marlon Moore, placed on IR with foot injury
2011-11-01, Jets, ,  Scotty McKnight, placed on practice squad IR with torn ACL in knee (CBC E) / released from practice squad (CBS NFL)
2011-11-01, Ravens, ,  Prescott Burgess, placed on IR with thigh injury (CBS NFL) / abdominal injury (CBC)
2011-11-02, Jaguars, ,  Mike Walker (b) / Mike Sims-Walker, placed on IR with knee injury
2011-11-02, Saints, ,  Charles Brown (a), placed on IR with hip injury
2011-11-02, Texans, ,  Darryl Sharpton, placed on IR with quadriceps injury
2011-11-04, Buccaneers,  Andrew Economos, , activated from physically unable to perform list
2011-11-05, Eagles,  Brandon Graham, , activated from physically unable to perform list
2011-11-05, Giants,  Ramses Barden, , activated from physically unable to perform list
2011-11-05, Patriots,  Ron Brace, , activated from reserve/physically unable to perform list
2011-11-05, Redskins, ,  Phillip Buchanon," placed on IR with neck, knee injury"
2011-11-05, Steelers, ,  Daniel Sepulveda / Dan Sepulveda, placed on IR with right knee injury
2011-11-07, Buccaneers, ,  Gerald McCoy, placed on IR with biceps injury
2011-11-08, Bills, ,  Kyle Williams (a), placed on IR with left foot injury
2011-11-08, Colts, ,  Seth Olsen, placed on IR with hand injury
2011-11-08, Jaguars, ,  Martin Rucker, placed on IR with back injury
2011-11-08, Panthers, ,  Thomas Williams (c), placed on IR with neck injury
2011-11-08, Panthers,  Brandon Hogan, , activated from physically unable to perform list
2011-11-08, Rams, ,  Greg Salas, placed on IR with broken leg
2011-11-08, Seahawks, ,  Kris Durham, placed on IR with shoulder injury
2011-11-08, Seahawks,  Deon Butler (a), , activated from physically unable to perform list
2011-11-08, Bills,  Ed Wang, , activated from IR
2011-11-09, Bears, ,  Kyle Adams (b), placed on IR with hamstring injury
2011-11-09, Patriots, ,  Josh Barrett, placed on IR with calf injury
2011-11-09, Rams,  Mark Clayton (b), , activated from physically unable to perform list
2011-11-09, Steelers,  Al Woods, , activated from physically unable to perform list
2011-11-10, Cowboys, , David Buehler, placed on IR with right groin injury
2011-11-11, Lions, ,  Jason Fox, placed on IR with foot injury
2011-11-12, Colts, ,  Blair White, placed on IR with knee injury
2011-11-14, Bears, ,  Chris Williams (b), placed on IR with dislocated left wrist
2011-11-14, Bengals, ,  DeQuin Evans, placed on practice squad IR with shoulder injury
2011-11-14, Bengals, ,  Leon Hall (b), placed on IR with Achilles tendon injury
2011-11-14, Bills, ,  Eric Wood, placed on IR with torn ACL in right knee
2011-11-14, Buccaneers, ,  George Johnson, placed on IR with knee injury
2011-11-14, Jaguars, ,  Eben Britton, placed on IR with back injury
2011-11-14, Jaguars, ,  Kyle Bosworth, placed on IR with broken left hand
2011-11-14, Jaguars, ,  Rashean Mathis, placed on IR with torn ACL in left knee
2011-11-14, Rams, ,  Al Harris (b), placed on IR with knee injury
2011-11-14, Rams, ,  Michael Hoomanawanui, placed on IR with knee injury
2011-11-14, Redskins, ,  Leonard Hankerson, placed on IR with torn labrum in right hip
2011-11-15, Bears, ,  Anthony Walters, placed on IR with hamstring injury
2011-11-15, Bills, ,  Chris White (d), placed on IR with torn ACL in knee
2011-11-15, Broncos, ,  Knowshon Moreno, placed on IR with torn ACL in right knee
2011-11-15, Patriots,  Marcus Cannon, , activated from physically unable to perform list (NFL) / non-football injury list (CBC E)
2011-11-15, Redskins, ,  Kedric Golston, placed on IR with knee injury
2011-11-15, Seahawks, ,  John Moffitt, placed on IR with torn MCL and PCL in right knee
2011-11-16, Chargers, ,  Kris Dielman, placed on IR with concussion
2011-11-16, Panthers, ,  Mike Goodson, placed on IR with hamstring injury
2011-11-16, Vikings, ,  Antoine Winfield, placed on IR with collarbone injury
2011-11-17, Raiders, ,  Chimdi Chekwa, placed on IR with hamstring injury
2011-11-18, Bears, , Gabe Carimi, placed on IR with right knee injury
2011-11-19, Rams, ,  Rodger Saffold, placed on IR with torn pectoral muscle
2011-11-21, Bears, ,  Patrick Mannelly, placed on IR with torn ACL in left knee
2011-11-21, Chiefs, ,  Matt Cassel, placed on IR with right hand injury
2011-11-21, Giants, ,  Michael Coe, placed on IR with shoulder injury
2011-11-22, Bills, ,  Donald Jones (b), placed on IR with left ankle injury
2011-11-22, Bills, ,  Terrence McGee, placed on IR with left knee injury
2011-11-22, Cardinals, ,  Dan Williams (b), placed on IR with broken left arm
2011-11-22, Falcons, ,  Andrew Jackson (b), placed on practice squad IR
2011-11-22, Jaguars, ,  Clint Session, placed on IR with head injury
2011-11-22, Rams, ,  Marquis Johnson, placed on IR with lacerated spleen
2011-11-22, Saints, ,  David Thomas (b), placed on IR with concussion
2011-11-22, Rams, Eddie Wide, , activated from IR
2011-11-23, Bills, ,  Fred Jackson, placed on IR with fractured fibula
2011-11-23, Chargers, ,  Scott Mruczkowski, placed on IR with concussion
2011-11-23, Texans, ,  Matt Schaub, placed on IR with foot injury
2011-11-24, Patriots, ,  Jeff Tarpinian, placed on IR with head injury
2011-11-24, Rams, ,  Mark Clayton (b), placed on IR with knee injury
2011-11-24, Seahawks, ,  James Carpenter, placed on IR with torn ACL in knee
2011-11-25, Jaguars, ,  Derek Cox, placed on IR with knee injury
2011-11-25, Lions, ,  Jahvid Best, placed on IR with concussion
2011-11-25, Rams, ,  Jason Smith, placed on IR with head injury / concussion
2011-11-26, Giants, ,  Michael Clayton, placed on IR with knee injury
2011-11-28, Broncos, ,  Cassius Vaughn, placed on IR with fractured left fibula
2011-11-28, Seahawks, , David Vobora, placed on IR with shoulder injury
2011-11-28, Texans, ,  Matt Leinart, placed on IR with fractured left collarbone
2011-11-29, Browns, ,  Emmanuel Stephens, placed on IR with pectoral muscle injury
2011-11-29, Browns, ,  Scott Fujita, placed on IR with hand injury
2011-11-29, Colts, ,  Stevie Brown, placed on IR with hamstring injury
2011-11-29, Eagles, ,  Moise Fokou, placed on IR with ankle injury
2011-11-29, Lions, ,  Ryan Donahue, placed on IR with right quadriceps injury
2011-11-29, Vikings, ,  Cullen Loeffler, placed on IR with back injury
2011-11-29, Vikings, ,  Husain Abdullah, placed on IR with concussion
2011-11-29, Vikings, ,  Michael Jenkins, placed on IR with knee injury
2011-11-29, Vikings, ,  Tyrell Johnson, placed on IR with hamstring injury
2011-11-29, Raiders,  Ricky Brown (b), , activated from IR
2011-11-30, Bills, , Torell Troup, placed on IR with back injury
2011-11-30, Chargers, ,  Marcus McNeill, placed on IR with neck injury
2011-11-30, Giants, ,  Will Beatty, placed on IR with eye injury
2011-11-30, Jaguars, ,  Courtney Greene, placed on IR with hamstring injury
2011-11-30, Lions, ,  Nate Hughes, placed on practice squad IR with leg injury
2011-11-30, Saints, ,  Greg Romeus, placed on IR with knee injury
2011-11-30, Seahawks, ,  Sidney Rice, placed on IR with concussion
2011-12-01, Ravens, ,  Rodney Bradley, placed on practice squad IR with undisclosed injury (CBC)
2011-12-02, Jaguars, ,  Brian Robiskie, placed on IR with hamstring injury
2011-12-03, Jaguars, ,  William Middleton, placed on IR with knee injury
2011-12-03, Jaguars,  Mike Walker (b) / Mike Sims-Walker, , activated from IR
2011-12-03, Ravens,  Prescott Burgess, , activated from IR
2011-12-05, Colts, ,  Jerraud Powers, placed on IR with dislocated elbow
2011-12-05, Colts, ,  Terrence Johnson, placed on IR with forearm injury
2011-12-05, Eagles, ,  Colt Anderson, placed on IR with torn ACL in left knee
2011-12-06, Colts, ,  Drake Nevis, placed on IR with back injury
2011-12-06, Jaguars, ,  John Chick, placed on IR with knee injury
2011-12-06, Panthers, ,  Sione Fua, placed on IR with right hamstring injury
2011-12-06, Panthers, ,  Terrell McClain, placed on IR with left knee injury
2011-12-06, Panthers,  Jason Shirley, , activated from physically unable to perform list (CBS NFL)
2011-12-06, Seahawks, ,  Russell Okung, placed on IR with torn right pectoral muscle
2011-12-06, Texans, ,  Brett Hartmann, placed on IR with torn ACL in left knee
2011-12-06, Bills,  Felton Huggins, , activated from IR
2011-12-06, Lions,  Vincent Fuller, , activated from IR
2011-12-07, Bengals, ,  Pat Sims, placed on IR with ankle injury
2011-12-07, Chargers, ,  Luis Castillo, placed on IR with tibia injury
2011-12-07, Giants, ,  Stacy Andrews, placed on IR with illness
2011-12-07, Packers, ,  Andrew Quarless, placed on IR with knee injury
2011-12-07, Rams, ,  Jacob Bell, placed on IR with MCL injury in right knee
2011-12-08, Bills, ,  Rian Lindell, placed on IR with shoulder injury
2011-12-08, Steelers, ,  Chris Hoke, placed on IR with neck injury
2011-12-08, Steelers, ,  Jonathan Dwyer, placed on IR with foot injury
2011-12-09, Buccaneers, ,  Tim Crowder, placed on IR with concussion
2011-12-09, Cowboys, ,  Phillip Tanner, placed on IR with hamstring injury
2011-12-09, Jaguars, ,  Aaron Kampman, placed on IR with knee/hamstring injury
2011-12-09, Jaguars,  Marc Schiechl / Mark Schiechl / Marc Schiechi, , activated from IR
2011-12-10, Patriots, ,  Jermaine Cunningham, placed on IR with hamstring injury
2011-12-12, Bengals, ,  Bobbie Williams, placed on IR with ankle injury
2011-12-12, Buccaneers, ,  Jacob Cutrera, placed on IR with head injury
2011-12-12, Buccaneers, ,  John McCargo, placed on IR with triceps injury
2011-12-12, Eagles, ,  Steve Smith (e), placed on IR with left knee injury
2011-12-12, Jaguars, ,  Chris Prosinski, placed on IR with thumb injury
2011-12-12, Jaguars, ,  T.J. Heath, placed on IR with shoulder injury
2011-12-12, Jets, ,  Jamarko Simmons, placed on practice squad IR with back injury
2011-12-12, Jets, ,  Jim Leonhard, placed on IR with torn patellar tendon in right knee
2011-12-12, Vikings, ,  Stephen Burton, placed on IR with strained MCL in knee
2011-12-13, Cowboys, ,  Barry Church, placed on IR with shoulder injury
2011-12-13, Cowboys, ,  DeMarco Murray, placed on IR with fractured right ankle
2011-12-13, Panthers, ,  Jason Phillips, placed on IR with right calf injury
2011-12-13, Redskins, ,  Chris Baker (b), placed on IR with quadriceps injury
2011-12-13, Seahawks, ,  Ron Parker (a), placed on IR with Achilles tendon injury
2011-12-13, Titans, ,  Barrett Ruud, placed on IR with groin injury
2011-12-14, Cowboys, , Jon Kitna, placed on IR with back injury
2011-12-14, Rams, ,  Brit Miller, placed on IR with knee injury
2011-12-14, Titans, ,  Anthony Smith (b), placed on IR with groin injury
2011-12-15, Redskins, ,  LaRon Landry, placed on IR with groin / Achilles tendon (NFL) injury
2011-12-16, Bengals, ,  John Bowie, placed on practice squad IR with Achilles tendon injury
2011-12-16, Browns, ,  Benjamin Watson / Ben Watson, placed on IR with concussion
2011-12-17, Panthers, ,  Bryant Browning, placed on IR with wrist injury
2011-12-17, Raiders, ,  Chris Johnson (a), placed on reserve/non-football injury list
2011-12-19, Bears, ,  Chris Conte, placed on IR with ankle injury
2011-12-19, Buccaneers, ,  Aqib Talib, placed on IR with right hamstring injury
2011-12-19, Patriots, ,  Andre Carter, placed on IR with left quadriceps injury
2011-12-19, Seahawks, ,  Mike Williams (Troy), placed on IR with broken leg
2011-12-19, Titans, ,  Javon Ringer, placed on IR with hand injury
2011-12-19, Bears, ,  Johnny Knox, placed on IR recovering from surgery on back
2011-12-20, Bills, ,  Lee Smith (a), placed on IR with left ankle injury
2011-12-20, Browns, ,  (E.) Alex Smith, placed on IR with shoulder injury
2011-12-20, Browns, ,  Titus Brown, placed on IR with knee injury
2011-12-20, Dolphins, ,  Koa Misi, placed on IR with shoulder injury
2011-12-20, Jaguars, ,  Darcel McBath, placed on IR with forearm injury
2011-12-20, Packers, ,  Derek Sherrod, placed on IR with broken right leg
2011-12-20, Rams, ,  Josh Hull, placed on IR with ankle injury
2011-12-21, Cardinals, ,  Joey Porter, placed on IR with knee injury
2011-12-21, Ravens, ,  Chavis Williams, placed on IR wiith right foot injury
2011-12-22, Browns, ,  T.J. Ward, placed on IR with foot injury
2011-12-23, Panthers, ,  Captain Munnerlyn, placed on IR with hamstring injury
2011-12-23, Steelers, ,  Curtis Brown (c), placed on IR with knee injury
2011-12-26, Cowboys, ,  Montrae Holland, placed on IR with strained bicep
2011-12-26, Jaguars, ,  Ashton Youboty, placed on IR with hamstring injury
2011-12-26, Jaguars, ,  Matt Roth, placed on IR with concussion
2011-12-26, Ravens, ,  David Reed, placed on IR with knee injury
2011-12-26, Vikings, ,  Adrian Peterson (L.), placed on IR with torn ACL and MCL in left knee
2011-12-27, Bears, ,  Jay Cutler, placed on IR with fractured right thumb
2011-12-27, Bears, ,  Matt Forte, placed on IR with right knee injury
2011-12-27, Bengals, ,  Andre Caldwell / Bubba Caldwell, placed on IR with sports hernia / groin injury
2011-12-27, Bills, , Mike Caussin, placed on IR with knee injury
2011-12-27, Falcons, ,  Kelvin Hayden, placed on IR with toe injury
2011-12-27, Falcons, ,  Mike Peterson (b), placed on IR with triceps injury
2011-12-27, Vikings, ,  Steve Hutchinson, placed on IR with concussion
2011-12-28, Bills, ,  Dave Rayner, placed on IR with groin injury
2011-12-28, Chargers, ,  Bront Bird, placed on IR with knee injury
2011-12-28, Colts, ,  Philip Wheeler, placed on IR with foot injury
2011-12-28, Dolphins, ,  Jake Long, placed on IR with biceps injury
2011-12-28, Eagles, ,  Kurt Coleman, placed on IR with biceps injury
2011-12-30, Panthers, ,  Legedu Naanee, placed on IR with broken foot
2011-12-31, Cardinals, ,  Brandon Keith, placed on IR with ankle injury
2011-12-31, Chiefs, ,  Jackie Battle, placed on IR with foot injury
2011-12-31, Cowboys, ,  Mat McBriar, placed on IR with left foot injury
2012-01-02, Broncos, ,  Chris Kuper, placed on IR with broken left leg
2012-01-03, Chiefs,  Brandon Siler, , activated from IR
2012-01-03, Saints, ,  Mark Ingram (b), placed on IR with sprained left toe
2012-01-03, Saints, ,  Will Herring, placed on IR with sprained MCL in right knee
2012-01-03, Steelers, ,  Rashard Mendenhall, placed on IR with torn ACL in right knee
2012-01-04, Steelers, ,  Chris Carter (d), placed on IR with hamstring injury
2012-01-10, Broncos, ,  Spencer Larsen, placed on IR with knee injury
2012-01-12, Cowboys, Jon Kitna, , activated from IR
2012-01-25, Patriots, ,  Dorin Dickerson, placed on practice squad IR with undisclosed injury
2012-01-25, Steelers,  Chris Hoke, , activated from IR
2012-02-06, 49ers,  Curtis Holcomb, , activated from IR
2012-02-06, 49ers,  Josh Morgan, , activated from IR
2012-02-06, 49ers,  Nate Byham, , activated from IR
2012-02-06, 49ers,  Will Tukuafu, , activated from IR
2012-02-06, 49ers, Dontavia Bogan, , activated from IR
2012-02-06, Bears,  Anthony Walters, , activated from IR
2012-02-06, Bears,  Chris Conte, , activated from IR
2012-02-06, Bears,  Chris Williams (b), , activated from IR
2012-02-06, Bears,  J.T. Thomas III, , activated from IR
2012-02-06, Bears,  Jay Cutler, , activated from IR
2012-02-06, Bears,  Johnny Knox, , activated from IR
2012-02-06, Bears,  Kyle Adams (b), , activated from IR
2012-02-06, Bears,  Matt Forte, , activated from IR
2012-02-06, Bears,  Patrick Mannelly, , activated from IR
2012-02-06, Bears, Gabe Carimi, , activated from IR
2012-02-06, Bengals,  Andre Caldwell / Bubba Caldwell, , activated from IR
2012-02-06, Bengals,  Bobbie Williams, , activated from IR
2012-02-06, Bengals,  Jordan Shipley, , activated from IR
2012-02-06, Bengals,  Leon Hall (b), , activated from IR
2012-02-06, Bengals,  Pat Sims, , activated from IR
2012-02-06, Bengals,  Roddrick Muckelroy, , activated from IR
2012-02-06, Bengals, Bo Scaife, , activated from IR
2012-02-06, Bills,  Bruce Hall, , activated from IR
2012-02-06, Bills,  Chris White (d), , activated from IR
2012-02-06, Bills,  Dave Rayner, , activated from IR
2012-02-06, Bills,  Donald Jones (b), , activated from IR
2012-02-06, Bills,  Eric Wood, , activated from IR
2012-02-06, Bills,  Fred Jackson, , activated from IR
2012-02-06, Bills,  Kyle Williams (a), , activated from IR
2012-02-06, Bills,  Lee Smith (a), , activated from IR
2012-02-06, Bills,  Marcus Easley, , activated from IR
2012-02-06, Bills,  Reggie Torbor, , activated from IR
2012-02-06, Bills,  Rian Lindell, , activated from IR
2012-02-06, Bills,  Roscoe Parrish, , activated from IR
2012-02-06, Bills,  Shawne Merriman, , activated from IR
2012-02-06, Bills,  Terrence McGee, , activated from IR
2012-02-06, Bills, Jon Corto, , activated from IR
2012-02-06, Bills, Mike Caussin, , activated from IR
2012-02-06, Bills, Torell Troup, , activated from IR
2012-02-06, Broncos,  Cassius Vaughn, , activated from IR
2012-02-06, Broncos,  Chris Kuper, , activated from IR
2012-02-06, Broncos,  Kevin Vickerson, , activated from IR
2012-02-06, Broncos,  Knowshon Moreno, , activated from IR
2012-02-06, Broncos,  Mario Fannin, , activated from IR
2012-02-06, Broncos,  Spencer Larsen, , activated from IR
2012-02-06, Broncos,  Syd'quan Thompson, , activated from IR
2012-02-06, Broncos,  Ty Warren, , activated from IR
2012-02-06, Broncos, Mark Dell, , activated from IR
2012-02-06, Browns,  (E.) Alex Smith, , activated from IR
2012-02-06, Browns,  Benjamin Watson / Ben Watson, , activated from IR
2012-02-06, Browns,  Brandon Jackson (a), , activated from IR
2012-02-06, Browns,  Emmanuel Stephens, , activated from IR
2012-02-06, Browns,  Eric Steinbach, , activated from IR
2012-02-06, Browns,  Reggie Hodges, , activated from IR
2012-02-06, Browns,  Richmond McGee, , activated from IR
2012-02-06, Browns,  Scott Fujita, , activated from IR
2012-02-06, Browns,  T.J. Ward, , activated from IR
2012-02-06, Browns,  Titus Brown, , activated from IR
2012-02-06, Buccaneers,  Aqib Talib, , activated from IR
2012-02-06, Buccaneers,  Cody Grimm, , activated from IR
2012-02-06, Buccaneers,  Devin Holland, , activated from IR
2012-02-06, Buccaneers,  E.J. Wilson, , activated from IR
2012-02-06, Buccaneers,  Earnest Graham, , activated from IR
2012-02-06, Buccaneers,  George Johnson, , activated from IR
2012-02-06, Buccaneers,  Gerald McCoy, , activated from IR
2012-02-06, Buccaneers,  Jacob Cutrera, , activated from IR
2012-02-06, Buccaneers,  John McCargo, , activated from IR
2012-02-06, Buccaneers,  Raymond Webber, , activated from IR
2012-02-06, Buccaneers,  Tim Crowder, , activated from IR
2012-02-06, Cardinals,  Brandon Keith, , activated from IR
2012-02-06, Cardinals,  Crezdon Butler, , activated from IR
2012-02-06, Cardinals,  Dan Williams (b), , activated from IR
2012-02-06, Cardinals,  Floyd Womack, , activated from IR
2012-02-06, Cardinals,  Greg Toler, , activated from IR
2012-02-06, Cardinals,  Joey Porter, , activated from IR
2012-02-06, Cardinals,  Max Hall, , activated from IR
2012-02-06, Cardinals,  Ryan Williams (a), , activated from IR
2012-02-06, Chargers,  Bob Sanders (c), , activated from IR
2012-02-06, Chargers,  Bront Bird, , activated from IR
2012-02-06, Chargers,  Jonas Mouton, , activated from IR
2012-02-06, Chargers,  Kris Dielman, , activated from IR
2012-02-06, Chargers,  Larry English, , activated from IR
2012-02-06, Chargers,  Luis Castillo, , activated from IR
2012-02-06, Chargers,  Marcus McNeill, , activated from IR
2012-02-06, Chargers,  Nate Kaeding, , activated from IR
2012-02-06, Chargers,  Nick Polk, , activated from IR
2012-02-06, Chargers,  Scott Mruczkowski, , activated from IR
2012-02-06, Chargers,  Stephen Cooper, , activated from IR
2012-02-06, Chiefs,  Eric Berry, , activated from IR
2012-02-06, Chiefs,  Gabe Miller, , activated from IR
2012-02-06, Chiefs,  Jackie Battle, , activated from IR
2012-02-06, Chiefs,  Jamaal Charles, , activated from IR
2012-02-06, Chiefs,  Matt Cassel, , activated from IR
2012-02-06, Chiefs,  Ryan O'Callaghan, , activated from IR
2012-02-06, Chiefs,  Tony Moeaki, , activated from IR
2012-02-06, Colts,  Ben Ijalana, , activated from IR
2012-02-06, Colts,  Blair White, , activated from IR
2012-02-06, Colts,  Chris Gronkowski, , activated from IR
2012-02-06, Colts,  Drake Nevis, , activated from IR
2012-02-06, Colts,  Eric Foster, , activated from IR
2012-02-06, Colts,  Gary Brackett (b), , activated from IR
2012-02-06, Colts,  Jaimie Thomas, , activated from IR
2012-02-06, Colts,  Jerraud Powers, , activated from IR
2012-02-06, Colts,  Kerry Collins, , activated from IR
2012-02-06, Colts,  Melvin Bullitt, , activated from IR
2012-02-06, Colts,  Philip Wheeler, , activated from IR
2012-02-06, Colts,  Seth Olsen, , activated from IR
2012-02-06, Colts,  Stevie Brown, , activated from IR
2012-02-06, Colts,  Terrence Johnson, , activated from IR
2012-02-06, Cowboys,  Barry Church, , activated from IR
2012-02-06, Cowboys,  Bill Nagy, , activated from IR
2012-02-06, Cowboys,  DeMarco Murray, , activated from IR
2012-02-06, Cowboys,  Mat McBriar, , activated from IR
2012-02-06, Cowboys,  Montrae Holland, , activated from IR
2012-02-06, Cowboys,  Phillip Tanner, , activated from IR
2012-02-06, Cowboys,  Raymond Radway, , activated from IR
2012-02-06, Cowboys, David Buehler, , activated from IR
2012-02-06, Dolphins,  Chad Henne, , activated from IR
2012-02-06, Dolphins,  Jake Long, , activated from IR
2012-02-06, Dolphins,  Koa Misi, , activated from IR
2012-02-06, Dolphins,  Marlon Moore, , activated from IR
2012-02-06, Dolphins,  Roberto Wallace, , activated from IR
2012-02-06, Dolphins, Lydon Murtha, , activated from IR
2012-02-06, Eagles,  Antonio Dixon, , activated from IR
2012-02-06, Eagles,  Colt Anderson, , activated from IR
2012-02-06, Eagles,  Kurt Coleman, , activated from IR
2012-02-06, Eagles,  Moise Fokou, , activated from IR
2012-02-06, Eagles,  Steve Smith (e), , activated from IR
2012-02-06, Eagles,  Victor Abiamiri, , activated from IR
2012-02-06, Falcons,  Kelvin Hayden, , activated from IR
2012-02-06, Falcons,  Mike Johnson (c), , activated from IR
2012-02-06, Falcons,  Mike Peterson (b), , activated from IR
2012-02-06, Falcons,  Ovie Mughelli, , activated from IR
2012-02-06, Giants,  Brian Witherspoon, , activated from IR
2012-02-06, Giants,  Bruce Johnson (b), , activated from IR
2012-02-06, Giants,  Jonathan Goff, , activated from IR
2012-02-06, Giants,  Justin Tryon, , activated from IR
2012-02-06, Giants,  Martin Parker, , activated from IR
2012-02-06, Giants,  Marvin Austin Jr., , activated from IR
2012-02-06, Giants,  Michael Clayton, , activated from IR
2012-02-06, Giants,  Michael Coe, , activated from IR
2012-02-06, Giants,  Stacy Andrews, , activated from IR
2012-02-06, Giants,  Terrell Thomas, , activated from IR
2012-02-06, Giants,  Will Beatty, , activated from IR
2012-02-06, Giants, Clint Sintim, , activated from IR
2012-02-06, Giants, Domenik Hixon, , activated from IR
2012-02-06, Jaguars,  Aaron Morgan, , activated from IR
2012-02-06, Jaguars,  Ashton Youboty, , activated from IR
2012-02-06, Jaguars,  Austen Lane, , activated from IR
2012-02-06, Jaguars,  Brian Robiskie, , activated from IR
2012-02-06, Jaguars,  Chris Prosinski, , activated from IR
2012-02-06, Jaguars,  Courtney Greene, , activated from IR
2012-02-06, Jaguars,  D'Anthony Smith, , activated from IR
