Date,Team,Acquired,Relinquished,Notes
2012-03-21, Saints, ,  Sean Payton, suspended as head coach by NFL for 1 year (beginning April 1) for his involvement in team's bounty program
2012-03-30, Giants, ,  Andre Brown (b), suspended by NFL for 4 games for violation of league policy on performance enhancing drugs
2012-04-24, Vikings, ,  Jerome Simpson, suspended by NFL for 3 games for violation of league substance abuse policy
2012-05-02, Browns, ,  Scott Fujita, suspended by NFL for 3 games for his role in Saints bounty program
2012-05-02, Packers, ,  Anthony Hargrove, suspended by NFL for 8 games for his role in Saints bounty program
2012-05-02, Saints, ,  Jonathan Vilma, suspended by NFL for 2012 season for his role in bounty program
2012-05-02, Saints, ,  Will Smith (a), suspended by NFL for 4 games for his role in bounty program
2012-05-19, Bengals, ,  Dontay Moch, suspended by NFL for 4 games for violating the league substance abuse policy
2012-05-21, Seahawks, ,  Allen Barbre, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-06-01, Giants,  Andre Brown (b), , reinstated from suspension
2012-06-07, , ,  Ramon Humber, suspended by NFL for 3 games
2012-06-11, Vikings, ,  Jerome Simpson, suspended by NFL for 3 games for violation of league substance abuse policy
2012-06-13, Lions, ,  Mikel Leshoure, suspended by NFL for 2 games for violating the league's substance abuse policy
2012-07-02, , ,  Trevis Turner, suspended by NFL for 4 games
2012-07-02, Rams, ,  Brody Eldridge, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-07-06, Saints, ,  Lawrence Wilson (c), suspended by NFL for 1 game for violation of the league's substance abuse policy
2012-07-18, Panthers, ,  Andre Neblett, suspended by NFL for 4 games for violation of league's policy on performance enhancing drugs
2012-07-19, Bears, ,  Nate Collins, suspended by NFL for 1 game for violating the league's substance abuse policy
2012-07-31, Giants, ,  Tyler Sash, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-07-31, Packers, ,  Erik Walden, suspended by NFL for 1 game for violation of the league's personal conduct policy
2012-08-04, Broncos, ,  Virgil Green, suspended by NFL for 3 games
2012-08-16, Chargers, ,  Garrett Brown, suspended by NFL for 4 games for violation of league's policy on performance enhancing drugs
2012-08-17, Eagles, ,  Dominique Rodgers-Cromartie," fined $21,000 by NFL"
2012-08-20, , ,  Aaron Berry, suspended by NFL for 3 games for violating the league personal conduct policy
2012-08-20, Chiefs, ,  Tamba Hali, suspended by NFL for 1 game and fined an additional game check for violating the league substance abuse policy
2012-08-30, Titans, ,  Kenny Britt, suspended by NFL for 1 game for violation of league's personal conduct policy
2012-08-31, Redskins, ,  Tanard Jackson, suspended by NFL for 1 year / indefinitely (SN)
2012-08-31, Vikings, ,  Harrison Smith (b)," fined $21,000 by NFL"
2012-09-08, Saints,  Will Smith (a), , earlier 4 game suspension overturned by review panel
2012-09-09, Saints,  Jonathan Vilma, , earlier suspension overturned by review panel
2012-09-10, Bears,  Nate Collins, , reinstated from suspension
2012-09-10, Browns, ,  Joe Haden, suspended by NFL for 4 games for violation of the league policy on performance enhancing drugs
2012-09-10, Chiefs,  Tamba Hali, , reinstated from suspension
2012-09-10, Packers,  Erik Walden, , reinstated from suspension
2012-09-11, Browns,  Scott Fujita, , earlier suspension overturned by review panel
2012-09-11, Titans,  Kenny Britt, , reinstated from suspension
2012-09-12, Cowboys, ,  Tyron Smith," fined $15,000 by NFL"
2012-09-14, Bengals, ,  Taylor Mays," fined $21,000 by NFL"
2012-09-14, Broncos, ,  Rahim Moore Sr.," fined $21,000 by NFL"
2012-09-14, Chiefs, ,  Shaun Draughn," fined $7,875 by NFL"
2012-09-14, Dolphins, ,  Mike Pouncey," fined $7,875 by NFL"
2012-09-14, Eagles, ,  Jason Babin," fined $15,750 by NFL"
2012-09-14, Redskins, ,  Dejon Gomes," fined $7,875 by NFL"
2012-09-14, Redskins, ,  Madieu Williams," fined $21,000 by NFL"
2012-09-14, Texans, ,  Antonio Smith (a)," fined $21,000 by NFL"
2012-09-14, Vikings, ,  Everson Griffen," fined $15,750 by NFL"
2012-09-14, Vikings, ,  Letroy Guion," fined $7,875 by NFL"
2012-09-17, Lions,  Mikel Leshoure, , reinstated from suspension
2012-09-17, Rams,  Austin Pettis, , reinstated from suspension
2012-09-18, 49ers, ,  Clark Haggans, suspended by NFL for 3 games for violation of the league's personal conduct policy
2012-09-21, Bills, ,  Da'Norris Searcy," fined $21,000 by NFL"
2012-09-21, Buccaneers, ,  Mason Foster," fined $21,000 by NFL"
2012-09-21, Cardinals, ,  Gerell Robinson, suspended by NFL for 4 games for violaing league's policy on performance enhancing drugs
2012-09-21, Colts, ,  Anthony Castonzo," fined $7,875 by NFL for unnecessary roughness"
2012-09-21, Colts, ,  Dwayne Allen," fined $7,875 by NFL for unnecessary roughness during scuffle"
2012-09-21, Dolphins, ,  Jimmy Wilson," fined $15,750 by NFL"
2012-09-21, Eagles, ,  Cullen Jenkins," fined $7,875 by NFL for late hit on opposing player"
2012-09-21, Eagles, ,  DeSean Jackson," fined $10,000 by NFL for throwing punch at opposing player"
2012-09-21, Falcons, ,  Ray Edwards," fined $7,875-8,000 by NFL for pushing and shoving opposing players"
2012-09-21, Giants, ,  Andre Brown (b)," fined $15,750 by NFL"
2012-09-21, Giants, ,  David Baas," fined $7,875 by NFL for actions after kneel-down play"
2012-09-21, Giants, ,  Kenny Phillips, fined $30K by NFL for hit on opposing player
2012-09-21, Giants, ,  Kevin Boothe," fined $7,875 by NFL for actions after kneel-down play"
2012-09-21, Jets, ,  LaRon Landry," fined $15,750 by NFL for horse-collar tackle"
2012-09-21, Lions, ,  John Wendling," fined $7,875 for hit on opposing player"
2012-09-21, Patriots, ,  Jerod Mayo, fined $21K by NFL for hitting defenseless player in head or neck area
2012-09-21, Patriots, ,  Steve Gregory," fined $7,875 by NFL for late hit on opposing player"
2012-09-21, Rams, ,  Janoris Jenkins," fined $15,750 by NFL for helmet-to-helmet hit on opposing player"
2012-09-21, Ravens, ,  Cary Williams," fined $10,000 by NFL for grabbing opposing player's facemask"
2012-09-21, Ravens, ,  Marshal Yanda," fined $7,875 by NFL for late hit away from play on opposing player"
2012-09-21, Ravens, ,  Ray Rice," fined $7,875 by NFL for late hit on opposing player"
2012-09-21, Redskins, ,  Josh Morgan," fined $7,875 by NFL for throwing ball at opposing player"
2012-09-21, Redskins, ,  Lorenzo Alexander," fined $15,750 by NFL for horsecollar tackle"
2012-09-21, Seahawks, ,  Golden Tate," fined $21,000 by NFL"
2012-09-21, Steelers, ,  Lawrence Timmons, fined $21K by NFL for helmet-to-helmet hit on opposing player
2012-09-21, Vikings, ,  Jasper Brinkley," fined $7,875 by NFL for ripping off opponents helmet during scuffle"
2012-09-21, Vikings, ,  Matt Kalil," fined $7,875 for late hit on opposing player"
2012-09-24, Broncos, ,  John Fox," fined $30,000 by NFL"
2012-09-24, Vikings,  Jerome Simpson, , reinstated from suspension
2012-09-25, Broncos, ,  Joe Mays, suspended by NFL for 1 game and fined $50K for violating player safety rules
2012-09-25, Saints,  Ramon Humber, , reinstated from suspension
2012-09-26, Patriots, ,  Bill Belichick," fined $50,000 by NFL for making contact with official"
2012-09-26, Steelers, ,  Ryan Mundy," fined $21,000 by NFL"
2012-09-28, Bengals, ,  Adam Jones / Pacman Jones," fined $15,750 by NFL"
2012-09-28, Bengals, ,  Terence Newman," fined $10,000 by NFL"
2012-09-28, Broncos, ,  Von Miller," fined $15,750 by NFL"
2012-09-28, Eagles, ,  Dominique Rodgers-Cromartie," fined $7,875 by NFL"
2012-09-28, Eagles, ,  Jason Babin," fined $15,750 by NFL"
2012-09-28, Lions, ,  Stephen Tulloch," fined $21,000 by NFL"
2012-09-28, Ravens, ,  Ed Reed," fined $21,000 by NFL"
2012-09-28, Seahawks, ,  Brandon Browner," fined $7,875 by NFL"
2012-09-28, Titans, ,  Leroy Harris (b)," fined $10,000 by NFL"
2012-09-28, Titans, ,  Scott Solomon," fined $15,750 by NFL"
2012-10-01, Bengals,  Dontay Moch, , reinstated from suspension
2012-10-01, Broncos,  Joe Mays, , reinstated from suspension
2012-10-01, Broncos,  Virgil Green, , reinstated from suspension
2012-10-01, Cardinals, ,  Quentin Groves," fined $15,750 by NFL (date approximate)"
2012-10-01, Giants,  Tyler Sash, , reinstated from suspension
2012-10-01, Packers,  Mike Neal, , reinstated from suspension
2012-10-01, Panthers,  Andre Neblett, , reinstated from suspension
2012-10-01, Seahawks,  Allen Barbre, , reinstated from suspension
2012-10-05, , ,  Thomas Clayton, suspended by NFL for 4 games
2012-10-05, Bills, ,  Kyle Williams (a)," fined $15,750 by NFL"
2012-10-05, Broncos, ,  D.J. Williams (a), suspended by NFL for additional 3 games
2012-10-05, Cardinals, ,  Jay Feely," fined $7,875 by NFL"
2012-10-05, Packers, ,  B.J. Raji," fined $7,875 by NFL"
2012-10-05, Panthers, ,  Charles Johnson (d)," fined $7,875 by NFL"
2012-10-05, Patriots, ,  Brandon Spikes," fined $21,000 by NFL"
2012-10-05, Saints, ,  Malcolm Jenkins," fined $7,875 by NFL"
2012-10-05, Titans, ,  David Stewart," fined $7,875 by NFL"
2012-10-05, Vikings, ,  Chad Greenway," fined $21,000 by NFL"
2012-10-08, 49ers,  Clark Haggans, , reinstated from suspension
2012-10-08, Browns,  Joe Haden, , reinstated from suspension
2012-10-08, Giants, ,  Will Hill III, suspended by NFL for 4 games for violation of the league policy on performance enhancing drugs
2012-10-08, Giants,  Tyler Sash, , reinstated from suspension (E)
2012-10-08, Steelers,  Weslye Saunders, , reinstated from suspension
2012-10-09, Browns, ,  Scott Fujita, earlier suspension reduced by NFL from 3 games to 1 game
2012-10-09, Packers, ,  Anthony Hargrove, earlier suspension reduced by NFL from 8 games to 7 games
2012-10-09, Saints, ,  Jonathan Vilma, suspended by NFL for rest of 2012 season for conduct detrimental to league
2012-10-09, Saints, ,  Will Smith (a), suspended by NFL for 4 games for conduct detrimental to league
2012-10-10, Packers, ,  Nick Perry (Joel)," fined $15,000 by NFL"
2012-10-10, Titans, ,  Michael Griffin," fined $21,000 by NFL"
2012-10-12, Cardinals, ,  Larry Fitzgerald," fined $7,875 by NFL"
2012-10-12, Chargers, ,  Melvin Ingram," fined $15,750 by NFL"
2012-10-12, Colts, ,  Cory Redding," fined $7,875 by NFL"
2012-10-12, Jets, ,  Matt Slauson," fined $10,000 by NFL"
2012-10-12, Packers, ,  Nick Perry (Joel)," fined $15,750 by NFL"
2012-10-12, Rams, ,  Jermelle Cudjo," fined $7,875 by NFL"
2012-10-12, Rams, ,  Robert Quinn," fined $15,750 by NFL"
2012-10-12, Seahawks, ,  Chris Clemons (a)," fined $15,750 by NFL"
2012-10-12, Titans, ,  Sen'Derrick Marks," fined $7,875 by NFL"
2012-10-13, Buccaneers, ,  Aqib Talib, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-10-15, Broncos,  D.J. Williams (a), , reinstated from suspension
2012-10-15, Cardinals,  Gerell Robinson, , reinstated from suspension
2012-10-15, Broncos, ,  D.J. Williams (a), suspended by NFL for 3 games
2012-10-16, Steelers, ,  Alameda Ta'amu, suspended by team for 2 games for conduct detrimental to team
2012-10-19, Jets, ,  Aaron Maybin," fined $7,875 by NFL"
2012-10-19, Jets, ,  Quinton Coples," fined $10,000 by NFL"
2012-10-19, Lions, ,  Lawrence Jackson," fined $15,750 by NFL"
2012-10-19, Lions, ,  Nate Burleson," fined $10,500K by NFL"
2012-10-19, Saints, ,  Alex Daniels, suspended by NFL
2012-10-19, Vikings, ,  Harrison Smith (b)," fined $15,750 by NFL"
2012-10-20, , ,  Donald Washington, suspended by NFL for 3 games for violating the league's personal conduct policy
2012-10-23, Giants,  Janzen Jackson, , reinstated from suspension
2012-10-23, Rams,  Todd Anderson (b), , reinstated from suspension
2012-10-26, 49ers, ,  Dashon Goldson," fined $7,875 by NFL"
2012-10-26, Bears, ,  Brandon Marshall (a)," fined $10,500 by NFL"
2012-10-26, Bears, ,  Earl Bennett (b), fined $10.5K by NFL
2012-10-26, Browns, ,  D'Qwell Jackson," fined $7,875 by NFL"
2012-10-26, Cardinals, ,  Rashad Johnson," fined $21,000 by NFL"
2012-10-26, Lions, ,  Alphonso Smith," fined $15,750 by NFL"
2012-10-26, Panthers, ,  Charles Godfrey," fined $7,875 by NFL"
2012-10-26, Ravens, ,  Bernard Pollard," fined $7,875 by NFL"
2012-10-26, Redskins, ,  Tyler Polumbus," fined $7,875 by NFL"
2012-10-27, Chargers, ,  Bront Bird, suspended by NFL
2012-10-27, Panthers, ,  Lee Ziemba," suspended by NFL for 4 games / for ""less than 1 year"" (SN)"
2012-10-29, Steelers,  Alameda Ta'amu, , reinstated from suspension
2012-11-02, , ,  Lorenzo Washington, suspended by NFL
2012-11-02, Bears, ,  Chris Conte, fined $21K by NFL for hit to head of defenseless receiver
2012-11-02, Buccaneers, ,  Donald Penn," fined $7,875 by NFL"
2012-11-02, Dolphins, ,  Jonathan Martin," fined $10,000 by NFL"
2012-11-02, Giants, ,  Chris Canty," fined $15,750 by NFL"
2012-11-02, Jets, ,  Marcus Dowtin," fined $15,750 by NFL"
2012-11-02, Raiders, ,  Richard Seymour," fined $15,750 by NFL"
2012-11-02, Titans, ,  Mike Martin (Brendan)," fined $15,750 by NFL"
2012-11-02, Vikings, ,  Jared Allen (a)," fined $7,875 by NFL"
2012-11-05, Giants,  Will Hill III, , reinstated from suspension
2012-11-06, ,  Donald Washington, , reinstated from suspension
2012-11-09, Colts, ,  Cassius Vaughn," fined $7,875 by NFL"
2012-11-09, Eagles, ,  Michael Vick / Mike Vick," fined $7,875 by NFL"
2012-11-09, Packers, ,  Ryan Taylor (b)," fined $21,000 by NFL"
2012-11-09, Panthers, ,  Greg Hardy," fined $15,750 by NFL"
2012-11-09, Panthers, ,  Haruki Nakamura," fined $21,000 by NFL"
2012-11-09, Patriots, ,  Brandon Bolden, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-11-09, Raiders, ,  Tyvon Branch," fined $15,750 by NFL"
2012-11-09, Ravens, ,  Dannell Ellerbe," fined $10,000 by NFL"
2012-11-09, Steelers, ,  Emmanuel Sanders," fined $15,000 by NFL"
2012-11-09, Steelers, ,  Will Allen (a)," fined $7,875 by NFL"
2012-11-09, Titans, ,  Matt Hasselbeck," fined $15,750 by NFL"
2012-11-09, Titans, ,  Michael Griffin," fined $20,000 by NFL"
2012-11-10, Giants,  Will Hill III, , activated from suspeded list
2012-11-12, Broncos,  D.J. Williams (a), , reinstated from suspension
2012-11-12, Patriots,  Aqib Talib, , reinstated from suspension
2012-11-13, Saints,  Alex Daniels, , reinstated from suspension
2012-11-16, 49ers, ,  Ray McDonald (c)," fined $21,000 by NFL"
2012-11-16, Bengals, ,  Rey Maualuga," fined $15,750 by NFL"
2012-11-16, Broncos, ,  Kevin Vickerson," fined $15,000 by NFL"
2012-11-16, Broncos, ,  Von Miller," fined $21,000 by NFL"
2012-11-16, Colts, ,  Jerry Hughes," fined $21,000 by NFL"
2012-11-16, Dolphins, ,  Richie Incognito," fined $10,000 by NFL"
2012-11-16, Jaguars, ,  Dawan Landry," fined $10,000 by NFL"
2012-11-16, Jaguars, ,  Terrance Knighton," fined $21,000 by NFL"
2012-11-16, Lions, ,  Ryan Broyles," fined $10,000 by NFL"
2012-11-16, Patriots, ,  Alfonzo Dennard," fined $7,875 by NFL"
2012-11-16, Patriots, ,  Brandon Spikes," fined $25,000 by NFL"
2012-11-16, Patriots, ,  Jerod Mayo," fined $10,000 by NFL"
2012-11-16, Raiders, ,  Aaron Curry," fined $23,625 by NFL"
2012-11-16, Redskins, ,  DeAngelo Hall," fined $30,000 by NFL"
2012-11-16, Texans, ,  Tim Dobbins, fined $30K by NFL
2012-11-16, Vikings, ,  Jasper Brinkley," fined $21,000 by NFL"
2012-11-19, Falcons, ,  Joe Hawley, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2012-11-19, Panthers,  Lee Ziemba, , reinstated from suspension
2012-11-19, Ravens, ,  Ed Reed," fined $50,000 by NFL for helmet-to-helmet hit"
2012-11-20, ,  Brett Hartmann, , reinstated from suspension
2012-11-20, Chargers,  Bront Bird, , reinstated from suspension
2012-11-20, Seahawks, ,  Winston Guy Jr., suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2012-11-21, Lions, ,  Titus Young, disciplinary reasons (out)
2012-11-22, , ,  Jabar Gaffney, suspended by NFL for 2 games
2012-11-23, Browns, ,  T.J. Ward, fined $25K by NFL
2012-11-23, Buccaneers, ,  Ted Larsen," fined $7,875 by NFL"
2012-11-23, Jaguars, ,  Dawan Landry," fined $21,000 by NFL"
2012-11-23, Jets, ,  Garrett McIntyre," fined $15,750 by NFL"
2012-11-23, Packers, ,  Brad Jones (a)," fined $15,750 by NFL"
2012-11-23, Panthers, ,  Thomas Davis," fined $21,000 by NFL"
2012-11-23, Patriots, ,  Kyle Arrington," fined $21,000 by NFL"
2012-11-26, Buccaneers, ,  Eric Wright, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2012-11-26, Patriots, ,  Jermaine Cunningham, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2012-11-27, ,  Lorenzo Washington, , reinstated from suspension
2012-11-28, Lions, ,  Ndamukong Suh," fined $30,000 by NFL for kicking opposing player in groin"
2012-11-29, Cowboys, ,  Mike Jenkins (b)," fined $7,875 by NFL"
2012-11-30, Bears, ,  Brian Urlacher," fined $15,750 by NFL"
2012-11-30, Bears, ,  Eric Weems," fined $7,875 by NFL"
2012-11-30, Bears, ,  Henry Melton," fined $7,875 by NFL"
2012-11-30, Bears, ,  Jay Cutler," fined $10,000 by NFL for flipping ball at opposing player"
2012-11-30, Bengals, ,  Andrew Whitworth, fined $26.25K by NFL
2012-11-30, Chiefs, ,  Donald Stephenson," fined $15,750 by NFL"
2012-11-30, Lions, ,  Stefan Logan," fined $7,875 by NFL"
2012-11-30, Packers, ,  Jerron McMillian," fined $21,000 by NFL"
2012-11-30, Panthers, ,  Mike Tolbert," fined $21,000 by NFL"
2012-11-30, Raiders, ,  Desmond Bryant," fined $26,250 by NFL"
2012-11-30, Raiders, ,  Lamarr Houston," fined $26,250 by NFL"
2012-11-30, Raiders, ,  Matt Shaughnessy," fined $26,250 by NFL"
2012-11-30, Raiders, ,  Rolando McClain, suspended by team for 2 games for conduct detrimental to the team
2012-11-30, Raiders, ,  Tommy Kelly," fined $26,260 by NFL"
2012-11-30, Rams, ,  Chris Long," fined $15,750 by NFL"
2012-11-30, Ravens, ,  Anquan Boldin," fined $7,875 by NFL"
2012-11-30, Redskins, ,  DeAngelo Hall," fined $35,750 by NFL"
2012-11-30, Saints, ,  Brodrick Bunkley," fined $20,000 by NFL"
2012-11-30, Seahawks, ,  Earl Thomas III," fined $15,750 by NFL"
2012-11-30, Texans, ,  Brandon Harris (a)," fined $21,000 by NFL"
2012-11-30, Texans, ,  J.J. Watt," fined $15,750 by NFL"
2012-11-30, Vikings, ,  Jared Allen (a)," fined $21,000 by NFL"
2012-12-03, Patriots,  Brandon Bolden, , reinstated from suspension
2012-12-04, ,  Jabar Gaffney, , reinstated from suspension
2012-12-04, Redskins, ,  Cedric Griffin, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-12-05, Seahawks, ,  Brandon Browner, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-12-07, 49ers, ,  Dashon Goldson," fined $7,875 by NFL"
2012-12-07, 49ers, ,  NaVorro Bowman," fined $10,000 by NFL"
2012-12-07, Bears, ,  Brian Urlacher," fined $21,000 for horsecollar tackle"
2012-12-07, Broncos, ,  Von Miller," fined $25,000 by NFL"
2012-12-07, Giants, ,  Tyler Sash," fined $7,875 by NFL"
2012-12-07, Jaguars, ,  Jason Babin," fined $21,000 by NFL"
2012-12-07, Lions, ,  Nick Fairley," fined $15,750 by NFL"
2012-12-07, Packers, ,  Tramon Williams," fined $21,000 by NFL"
2012-12-07, Ravens, ,  Paul Kruger," fined $5,250 by NFL"
2012-12-07, Redskins, ,  Will Montgomery," fined $10,000 by NFL"
2012-12-07, Vikings, ,  Everson Griffen," fined $15,750 by NFL"
2012-12-07, Vikings, ,  Jasper Brinkley," fined $7,875 by NFL"
2012-12-10, 49ers, ,  Brandon Jacobs, suspended by team for 3 games for conduct detrimental to team (posting a series of messages on social media sites addressing his lack of playing time)
2012-12-10, Raiders,  Rolando McClain, , reinstated from suspension
2012-12-11, Browns,  Scott Fujita, , earlier 1 game suspension overturned by NFL
2012-12-11, Packers,  Anthony Hargrove, , eariler 7 game suspension overturned by NFL
2012-12-11, Ravens, ,  Asa Jackson, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-12-11, Saints,  Jonathan Vilma, , earlier 2012 season suspension overturned by NFL
2012-12-11, Saints,  Will Smith (a), , earlier 4 game suspension overturned by NFL
2012-12-11, Steelers, ,  Rashard Mendenhall, suspended by team for 1 game for conduct detrimental to the team
2012-12-14, Bears, ,  Charles Tillman," fined $7,875 by NFL"
2012-12-14, Cowboys, ,  Ernie Sims," fined $15,750 by NFL"
2012-12-14, Giants, ,  Prince Amukamara," fined $15,750 by NFL"
2012-12-14, Jets, ,  Quinton Coples," fined $15,000 by NFL"
2012-12-14, Lions, ,  Gosder Cherilus," fined $10,000 by NFL"
2012-12-14, Rams, ,  Cortland Finnegan," fined $10,000 by NFL"
2012-12-17, Falcons,  Joe Hawley, , reinstated from suspension
2012-12-17, Redskins, ,  Jordan Black, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-12-17, Seahawks,  Winston Guy Jr., , reinstated from suspension
2012-12-17, Steelers,  Rashard Mendenhall, , reinstated from suspension
2012-12-18, Broncos, ,  Quentin Saulsberry, suspended by NFL for 4 games for violating the league policy on performance enhancing drugs
2012-12-21, 49ers, ,  Dashon Goldson," fined $21,000 by NFL"
2012-12-21, Bears, ,  Brandon Marshall (a)," fined $5,250 by NFL"
2012-12-21, Cowboys, ,  DeMarcus Ware," fined $15,750 by NFL"
2012-12-21, Falcons, ,  Chris Hope," fined $30,000 by NFL"
2012-12-21, Falcons, ,  Sharod White / Roddy White," fined $7,875 by NFL"
2012-12-21, Giants, ,  Corey Webster," fined $7,875 by NFL"
2012-12-21, Jets, ,  Quinton Coples," fined $15,750 by NFL"
2012-12-21, Ravens, ,  Anquan Boldin," fined $15,750 by NFL"
2012-12-21, Ravens, ,  Cary Williams," fined $15,750 by NFL"
2012-12-21, Texans, ,  Antonio Smith (a)," fined $15,750 by NFL"
2012-12-21, Titans, ,  Jordan Babineaux," fined $7,875 by NFL"
2012-12-24, Buccaneers,  Eric Wright, , reinstated from suspension
2012-12-24, Patriots,  Jermaine Cunningham, , reinstated from suspension
2012-12-27, Ravens, ,  Ed Reed," fined $55,000 by NFL"
2012-12-28, 49ers, ,  Anthony Davis (b)," fined $10,000 by NFL"
2012-12-28, Panthers, ,  Cam Newton (b)," fined $31,000 by NFL"
2012-12-28, Panthers, ,  Charles Godfrey," fined $21,000 by NFL"
2012-12-28, Panthers, ,  Greg Hardy," fined $25,000 by NFL"
2012-12-28, Patriots, ,  Vince Wilfork," fined $30,000 by NFL"
2012-12-28, Ravens, ,  Michael Oher," fined $10,000 by NFL"
2012-12-28, Texans, ,  Danieal Manning," fined $10,000 by NFL"
2012-12-28, Texans, ,  Kareem Jackson," fined $21,000 by NFL"
2012-12-28, Titans, ,  Sen'Derrick Marks," fined $7,875 by NFL"
2012-12-28, Vikings, ,  Matt Kalil," fined $10,000 by NFL"
2012-12-31, Redskins,  Cedric Griffin, , reinstated from suspension
2012-12-31, Seahawks,  Brandon Browner, , reinstated from suspension
2012-12-31, 49ers,  Brandon Jacobs, , reinstated from suspension
2013-01-04, 49ers, ,  Frank Gore," fined $10,500 by NFL"
2013-01-04, 49ers, ,  Michael Crabtree," fined $10,500 by NFL"
2013-01-04, Browns, ,  Phil Taylor," fined $7,875 by NFL"
2013-01-04, Chargers, ,  Takeo Spikes," fined $7,875 by NFL"
2013-01-04, Packers, ,  Tramon Williams," fined $7,875 by NFL"
2013-01-04, Raiders, ,  Mike Goodson," fined $7,875 by NFL"
2013-01-04, Redskins, ,  Saverio Rocca / Sav Rocca," fined $7,875 by NFL"
2013-01-07, Ravens,  Asa Jackson, , reinstated from suspension
2013-01-11, Redskins, ,  Trent Williams," fined $7,875 by NFL"
2013-01-18, 49ers, ,  Dashon Goldson," fined $10,000 by NFL"
2013-01-18, Patriots, ,  Stephen Gostkowski," fined $15,750 by NFL"
2013-01-18, Patriots, ,  Steve Gregory," fined $15,750 by NFL"
2013-01-18, Ravens, ,  Chykie Brown," fined $15,750 by NFL"
2013-01-22, Saints,  Sean Payton, , reinstated as head coach from suspension
2013-02-04, Broncos,  Quentin Saulsberry, , reinstated from suspension
2013-02-04, Redskins,  Jordan Black, , reinstated from suspension
2013-02-07, ,  Gregg Williams, , reinstated from suspension by NFL
2013-02-13, Cardinals, ,  Javarris James, suspended by NFL for 4 games for violating the substance abuse policy
2013-03-13, , ,  Deuce Lutui, suspended by NFL for 4 games
2013-03-20, Redskins, ,  Rob Jackson, suspended by NFL for 4 games
2013-04-01, Ravens, ,  Christian Thompson, suspended by NFL for 4 games for violating the league's substance abuse policy
2013-04-03, Cardinals, ,  Daryl Washington, suspended by NFL for 4 games for violating the league's substance abuse policy
2013-04-19, , ,  James Sanders, suspended by NFL for 4 games
2013-04-19, , ,  Larry Grant (a), suspended by NFL for 4 games
2013-04-24, ,  Pat Williams, , reinstated from suspension
2013-04-30, Jaguars, ,  Justin Blackmon, suspended by NFL for 4 games for violating the league's substance abuse policy
2013-05-17, Seahawks, ,  Bruce Irvin, suspended by NFL for 4 games for violation of league policy on performance enhancing drugs
2013-05-22, Rams, ,  Rokevious Watkins, suspended by NFL for 1 game
2013-05-31, Rams, ,  Isaiah Pead, suspended by NFL for 1 game for violating the league's substance abuse policy
2013-06-04, Bears, ,  Gabe Miller, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-06-07, Browns, ,  Josh Gordon, suspended by NFL for 2 games for violating the league's substance abuse policy
2013-06-24, Colts, ,  LaVon Brazill, suspended by NFL for 4 games for violating the league's substance abuse policy
2013-06-24, Giants, ,  Brandon Collins, suspended by NFL for 4 games for violating the league's substance abuse policy
2013-07-15, Broncos, ,  Matt Russell, suspended as director of player personnel by team indefinitely for suspicion of drunken driving
2013-07-15, Broncos, ,  Tom Heckert, suspended as director of pro personnel by team indefinitely for suspicion of drunken driving
2013-07-17, , ,  Bert Reed (c), suspended by NFL for 4 games
2013-07-18, Colts, ,  Weslye Saunders, suspended by NFL for 8 games for violating the league's policy on performance enhancing drugs
2013-07-20, Giants, ,  Will Hill III, suspended by NFL for 4 games for violation of the league policy on performance enhancing drugs
2013-07-24, Buccaneers, ,  Jeff Demps, placed on did-not-report list
2013-07-26, Redskins, ,  Jarvis Jenkins, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-07-27, Raiders, ,  Andre Holmes, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-07-29, Titans, ,  Justin Hilton, suspended by NFL
2013-08-01, Vikings, ,  Demarcus Love, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-08-02, Eagles, ,  Riley Cooper, player excused from all team activities after being caught on video making racial slur
2013-08-02, Ravens, ,  Asa Jackson, suspended by NFL for 8 games for violating the league's policy on performance enhancing drugs
2013-08-05, , ,  Semaj Moody, suspended by NFL
2013-08-06, Eagles,  Riley Cooper, , reinstated
2013-08-14, 49ers, ,  Demarcus Dobbs, suspended by NFL for 1 game for violating the league's substance abuse policy
2013-08-14, Rams, ,  Jo-Lonn Dunbar, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-08-20, Broncos, ,  Von Miller, suspended by NFL for 6 games for violating the league's policy on performance enhancing drugs
